- Allo 125 (2010, LXMAJ12W1)
- Allo 125 (2011-2015, LXMAJ12W1)
- Allo 50 (2011-2016, LXMAJ05W1)
- Allo 50 (2018-2020, LXMAJ05W)
- Allo 50 GT (2013-2014, LXMAJ05W)
- Cello 125 (2010, LXMAJ12W1)
- Cello 50 (2010, LXMAJ05W1)
- Citycom 125 (2009-2010, RFGLG12W)
- Citycom 300 EFI CBS (2008-2009, RFGLH30W)
- Citycom 300i S ABS (2017-2020, RFGLL30W) Euro 4
- Citycom 300i S CBS (2014, RFGLL30W)
- Citycom 300i S CBS (2016-2017, RFGLL30W) Euro 3
- Combiz 125 (2012-2015, RFGAP12W)
- Crox 50 (2014-2015, LXMAE05W)
- Crox 50 (2018-2020, LXMAE05W)
- Cruisym 125i ABS (2018-2019, RFGLV12W)
- Cruisym 250i (2018-2019, RFGLV25W)
- Cruisym 300i (2018-2020, RFGLV30W)
- DD 50 (2002, RFGFT05W)
- DD 50 Fix (2003, RFGFT05V)
- DD 50 Fix (2004, RFGFT05V)
- DD 50 Fix (2006, RFGFT05V)
- E-Virid (2012, 1800 W)
- E-Virid (2012, 2200 W)
- Euro MX 125 (2002-2003, RFGHF12W) Scheibenbremse hinten
- Euro MX 125 (2003, RFGHF12W) Trommelbremse hinten
- Euro MX 125 (2004-2008, RFGHF12W) Scheibenbremse hinten
- Fancy 50 (1996-2001, RFGF5L3)
- Fiddle I 50 (2002-2007, RFGFA05U)
- Fiddle II 125 (2007-2008, RFGAW12W)
- Fiddle II 125 (2010-2014, LXMAX12W)
- Fiddle II 125 (2011, RFGAW12WY)
- Fiddle II 50 (2007-2008, RFGAW05W)
- Fiddle II 50 (2009-2014, RFGAF05W)
- Fiddle II 50 (2018-2020, RFGAF05W)
- Fiddle III 125 (2014-2015, LXMXAA301)
- Fiddle III 125i CSB (2017-2020, LXMXAA30, Typ L9)
- Fiddle III 125i CSB (2017, LXMXAA30, Typ L7)
- Fiddle III 50 (2014-2016, LXMXAA1, Typ L6)
- Fiddle III 50 (2014-2017, LXMXAA1, Typ L7)
- Fiddle III 50 (2018-2020, LXMXAA1, Typ L9)
- Fiddle III 50 (2018, LXMXAA1, Typ L8)
- Flash 50 (1997-2000, RFGF5A)
- GTS 125 (2007-2008, RFGLM12W)
- GTS 125 EFI CBS Evo (2010-2013, RFGLMA30)
- GTS 125 Evo (2009-2010, RFGLM12W)
- GTS 125i ABS (2014-2015, RFGLNA30)
- GTS 125i ABS Sport (2015, RFGLNA30)
- GTS 125i ABS Sport (2017, RFGLNA30)
- GTS 125i ABS Start&Stop (2017, RFGLNA30)
- GTS 125i CBS (2012-2013, RFGLNA30)
- GTS 125i CBS (2014, RFGLNA30)
- GTS 125i CBS (2018, RFGLNA30)
- GTS 125i CBS LV (2017, RFGLNA30)
- GTS 125i CBS Sport (2014-2016, RFGLNA30)
- GTS 125i CBS Sport (2017-2019, RFGLNA30)
- GTS 250 CBS (2005-2006, RFGLM25W)
- GTS 250 EFI CBS (2007-2008, RFGLM25W)
- GTS 250 EFI CBS Evo (2009-2010, RFGLM25WY)
- GTS 300 EFI CBS Evo (2009-2011, RFGLM30WY)
- GTS 300i ABS (2013-2016, RFGLNA701)
- GTS 300i ABS (2017-2019, RFGLNA70)
- GTS 300i ABS Sport (2017-2019, RFGLNA70)
- GTS 300i CBS (2012-2014, RFGLNA701)
- HD 125 (2004, RFGLH12W)
- HD 125 Evo (2007-2010, RFGLH12W, Typ 12W5)
- HD 125 Evo (2007-2010, RFGLH12W, Typ 12WB)
- HD 2 125 (2011-2014, RFGLC302)
- HD 2 125 CBS (2014, RFGLC302)
- HD 2 125 CBS (2015, RFGLC302)
- HD 2 200 EFI (2011, RFGLCA)
- HD 2 200 EFI CBS (2014-2015, RFGLCA)
- HD 200 (2004-2011, RFGLH18W) Trommelbremse hinten
- HD 200 EFI Evo (2007-2010, RFGLH18W)
- HD 200 Evo (2006-2010, RFGLH18W) Scheibenbremse hinten
- HD 300i ABS (2019-2020, RFGLS30W)
- Jet 100 Euro X (2016, RFG100P)
- Jet 125 4 (2010, LXMAD12W)
- Jet 125 V (2011, LXMHM12VA)
- Jet 125i 14 CBS LC (2017-2020, LXMXC12WW)
- Jet 125i 4 CBS (2015-2016, LXMAD12W)
- Jet 125i 4 CBS AC (2017-2020, LXMXCA301)
- Jet 50 (1997-1998, RFGG050J)
- Jet 50 (1999-2004, RFGBL05W)
- Jet 50 14 (4-Takt, 2018-2020, LXMXC05W)
