- Vespa ET2 50 (1997, ZAPC16000)
- Vespa ET2 50 (1998, ZAPC16000)
- Vespa ET2 50 (1999, ZAPC16000)
- Vespa ET2 50 (2000, ZAPC16000)
- Vespa ET2 50 (2001, ZAPC16000)
- Vespa ET2 50 (2001, ZAPC38100)
- Vespa ET2 50 (2002, ZAPC16000)
- Vespa ET2 50 (2002, ZAPC38100)
- Vespa ET2 50 Iniezione (1998, ZAPC12000)
- Vespa ET2 50 Iniezione (1999, ZAPC12000)
- Vespa ET2 50 Iniezione (2000, ZAPC12000)
- Vespa ET4 125 (1996, ZAPM04000)
- Vespa ET4 125 (1997, ZAPM04000)
- Vespa ET4 125 (1998, ZAPM04000)
- Vespa ET4 125 (1999, ZAPM04000)
- Vespa ET4 125 (2000, ZAPM190001)
- Vespa ET4 125 (2001, ZAPM190001)
- Vespa ET4 125 (2002, ZAPM190001)
- Vespa ET4 125 (2003, ZAPM190001)
- Vespa ET4 125 (2004, ZAPM190001)
- Vespa ET4 150 (2001, ZAPM19000)
- Vespa ET4 150 (2002, ZAPM19000)
- Vespa ET4 150 (2003, ZAPM19000)
- Vespa ET4 150 (2004, ZAPM19000)
- Vespa ET4 150 (2004, ZAPM1900001)
- Vespa ET4 50 (1998, ZAPC26000)
- Vespa ET4 50 (1999, ZAPC26000)
- Vespa ET4 50 (2000, ZAPC26000)
- Vespa ET4 50 (2001, ZAPC26000)
- Vespa ET4 50 (2001, ZAPC26100)
- Vespa ET4 50 (2002, ZAPC26100)
- Vespa ET4 50 (2003, ZAPC26100)
- Vespa ET4 50 (2004, ZAPC26100)
