- Vespa GT 250ie 60° (2006, ZAPM45102)
- Vespa GT 250ie 60° (2007, ZAPM45102)
- Vespa GTS 250 (2004, ZAPM45100)
- Vespa GTS 250 (2005, ZAPM45100)
- Vespa GTS 250 (2005, ZAPM45100) M451M
- Vespa GTS 250 (2006, ZAPM45100)
- Vespa GTS 250 (2007, ZAPM45100)
- Vespa GTS 250 (2008, ZAPM45100)
- Vespa GTS 250 (2009, ZAPM45100)
- Vespa GTS 250 (2010, ZAPM45100)
- Vespa GTS 250 (2011, ZAPM45100)
- Vespa GTS 250 (2012, ZAPM45100)
- Vespa GTS 250 (2013, ZAPM45100)
- Vespa GTS 250 (2014, ZAPM45100)
- Vespa GTS 250 (2015, ZAPM45100)
- Vespa GTS 250 (2016, ZAPM45100)
- Vespa GTS 250 ABS (2005, ZAPM45101)
- Vespa GTS 250 ABS (2006, ZAPM45101)
- Vespa GTS 250 ABS (2007, ZAPM45101)
- Vespa GTS 250 ABS (2008, ZAPM45101)
- Vespa GTS 250 ABS (2009, ZAPM45101)
- Vespa GTS 250 Touring (2009, ZAPM45100)
- Vespa GTS 250 Touring (2010, ZAPM45100)
- Vespa GTS 250 Touring (2011, ZAPM45100)
- Vespa GTS 300 (2012, ZAPM45200)
- Vespa GTS 300 (2013, ZAPM45200)
- Vespa GTS 300 (2014, ZAPM45200)
- Vespa GTS 300 (2015, ZAPM45200)
- Vespa GTS 300 (2016, ZAPM45200)
- Vespa GTS 300 (2016, ZAPM45200) 70-Jahre
- Vespa GTS 300 ABS (2016, ZAPM45200) 70-Jahre
- Vespa GTS 300 Touring (2015, ZAPM45200)
- Vespa GTS 300 Touring ABS (2015, ZAPM45200)
- Vespa GTS 300ie (2014, ZAPM45202)
- Vespa GTS 300ie (2015, ZAPM45202)
- Vespa GTS 300ie (2016, ZAPM45202)
- Vespa GTS 300ie (2016, ZAPM45202) 70-Jahre
- Vespa GTS 300ie (2016, ZAPMA3300)
- Vespa GTS 300ie ABS (2014, ZAPM45202)
- Vespa GTS 300ie ABS (2016, ZAPM45202) 70-Jahre
- Vespa GTS 300ie ABS (2016, ZAPMA3300)
- Vespa GTS 300ie ABS (2017, ZAPMA3300)
- Vespa GTS 300ie ABS (2018, ZAPMA3300)
- Vespa GTS 300ie ABS Touring (2015, ZAPM45202)
- Vespa GTS 300ie Basic Keyless HPE ABS (2023, ZAPMD3103)
- Vespa GTS 300ie Basic Keyless HPE ABS (2023, ZAPMD3104)
- Vespa GTS 300ie HPE (2019, ZAPMA3600)
- Vespa GTS 300ie HPE ABS (2019-2020, ZAPMA3600)
- Vespa GTS 300ie HPE ABS (2020-2021, ZAPMD3100)
- Vespa GTS 300ie HPE ABS (2022-2023, ZAPMD3103 )
- Vespa GTS 300ie HPE ABS ASR (2019-2020, ZAPMA3600)
- Vespa GTS 300ie HPE ABS ASR (2021-2022, ZAPMD3100)
- Vespa GTS 300ie HPE ABS ASR (2022, ZAPMD3103)
- Vespa GTS 300ie HPE Super ABS (2020-2022, ZAPMD3101)
- Vespa GTS 300ie Sei Giorni II HPE ABS (2021, ZAPMD3102)
- Vespa GTS 300ie Super (2009, ZAPM45200)
- Vespa GTS 300ie Super (2009, ZAPM45200) M454M
- Vespa GTS 300ie Super (2010, ZAPM45200)
- Vespa GTS 300ie Super (2011, ZAPM45200)
- Vespa GTS 300ie Super (2012, ZAPM45200)
- Vespa GTS 300ie Super (2013, ZAPM45200)
- Vespa GTS 300ie Super (2014, ZAPM45200)
- Vespa GTS 300ie Super (2014, ZAPM45202)
- Vespa GTS 300ie Super (2015, ZAPM45202)
- Vespa GTS 300ie Super (2016, ZAPM45202)
- Vespa GTS 300ie Super (2017, ZAPMA3300)
- Vespa GTS 300ie Super (2018, ZAPMA3300)
- Vespa GTS 300ie Super (2018, ZAPMA3300) Notte
- Vespa GTS 300ie Super (2018, ZAPMA3300) Yacht Club
- Vespa GTS 300ie Super HPE (2018, ZAPMA3600)
- Vespa GTS 300ie Super HPE (2019, ZAPMA3600)
- Vespa GTS 300ie Super HPE ABS (2018-2020, ZAPMA3600)
- Vespa GTS 300ie Super HPE ABS ASR (2019-2020, ZAPMA3600)
- Vespa GTS 300ie Super HPE ABS ASR (2019-2020, ZAPMA3600) Notte
- Vespa GTS 300ie Super HPE ABS ASR (2019-2020, ZAPMA3600) Racing
- Vespa GTS 300ie Super HPE ABS ASR (2021, ZAPMD3100)
- Vespa GTS 300ie Super HPE ABS ASR (2021, ZAPMD3100) Racing Sixti
- Vespa GTS 300ie Super Keyless HPE ABS (2022, ZAPMD3103)
- Vespa GTS 300ie Super Keyless HPE ABS (2023, ZAPMD3103)
- Vespa GTS 300ie Super Keyless HPE ABS (2023, ZAPMD3104)
- Vespa GTS 300ie Super Keyless HPE ABS (2024, ZAPM)
- Vespa GTS 300ie Super Keyless HPE ABS (2024, ZAPMD3500)
- Vespa GTS 300ie Super Sport (2010, ZAPM45200)
- Vespa GTS 300ie Super Sport (2011, ZAPM45200)
- Vespa GTS 300ie Super Sport (2012, ZAPM45200)
- Vespa GTS 300ie Super Sport (2013, ZAPM45200)
- Vespa GTS 300ie Super Sport (2018, ZAPMA3300)
- Vespa GTS 300ie Super Sport HPE ABS ASR (2019-2020, ZAPMA3600)
- Vespa GTS 300ie Super Sport HPE ABS ASR (2021-2022, ZAPMD3100)
- Vespa GTS 300ie Super Sport HPE ABS ASR (2021, ZAPMD3100) 75th A
- Vespa GTS 300ie Super Sport HPE ABS ASR (2021, ZAPMD3101)
- Vespa GTS 300ie Super Sport Keyless HPE ABS (2022, ZAPMD3103)
- Vespa GTS 300ie Super Sport Keyless HPE ABS (2023, ZAPMD3103)
- Vespa GTS 300ie Super Sport Keyless HPE ABS (2023, ZAPMD3104)
- Vespa GTS 300ie Super Tech HPE ABS ASR (2019-2020, ZAPMA3600)
- Vespa GTS 300ie Super Tech HPE ABS ASR (2021-2022, ZAPMD3100)
