- Vespa LX 125 (2005-2009, ZAPM44100)
- Vespa LX 125 (2006-2009, ZAPM44300)
- Vespa LX 125 (2006, ZAPM44100)
- Vespa LX 125 (2007, ZAPM44100)
- Vespa LX 125 (2007, ZAPM44300)
- Vespa LX 125 (2008, ZAPM44300)
- Vespa LX 125 (2009-2011, ZAPM68100)
- Vespa LX 125 (2009, ZAPM44100)
- Vespa LX 125 (2009, ZAPM44300)
- Vespa LX 125 (2010, ZAPM68100)
- Vespa LX 125 (2011-2013, ZAPM68300)
- Vespa LX 125 (2011, ZAPM68100)
- Vespa LX 125 (2012, ZAPM68300)
- Vespa LX 125 (2013, ZAPM68300)
- Vespa LX 125 Touring (2010, ZAPM68100)
- Vespa LX 125 Touring (2011, ZAPM68100)
- Vespa LX 125 Touring (2012, ZAPM68300)
- Vespa LX 125 Touring (2013, ZAPM68300)
- Vespa LX 150 (2005-2006, ZAPM44200)
- Vespa LX 150 (2006-2009, ZAPM44400)
- Vespa LX 150 (2006, ZAPM44200)
- Vespa LX 150 (2007, ZAPM44400)
- Vespa LX 150 (2008, ZAPM44400)
- Vespa LX 150 (2009-2011, ZAPM68200)
- Vespa LX 150 (2009, ZAPM44400)
- Vespa LX 150 (2010, ZAPM68200)
- Vespa LX 150 (2011, ZAPM68200)
- Vespa LX 150 (2012-2013, ZAPM68400)
- Vespa LX 150 (2013, ZAPM68400)
- Vespa LX 150 Touring (2010, ZAPM68200)
- Vespa LX 150 Touring (2011, ZAPM68200)
- Vespa LXV 125 (2006-2009, ZAPM44301)
- Vespa LXV 125 (2007, ZAPM44301)
- Vespa LXV 125 (2007, ZAPM44301) Navy
- Vespa LXV 125 (2008, ZAPM44301)
- Vespa LXV 125 (2008, ZAPM44301) Navy
- Vespa LXV 125 (2009-2013, ZAPM68102)
- Vespa LXV 125 (2009, ZAPM44301)
- Vespa LXV 125 (2010, ZAPM68102)
- Vespa LXV 125 (2011, ZAPM68102)
- Vespa LXV 125 (2012, ZAPM68102)
- Vespa LXV 125 (2013, ZAPM68102)
- Vespa S 125 (2007-2008, ZAPM44302)
- Vespa S 125 (2008, ZAPM44302)
- Vespa S 125 (2009-2013, ZAPM68101)
- Vespa S 125 (2010, ZAPM68101)
- Vespa S 125 (2011, ZAPM68101)
- Vespa S 125 (2012, ZAPM68301)
- Vespa S 125 (2013, ZAPM68301)
- Vespa S 150 (2008-2009, ZAPM44402)
- Vespa S 150 (2009-2012, ZAPM68201)
- Vespa S 150 (2009, ZAPM44402)
- Vespa S 150 (2010, ZAPM68201)
- Vespa S 150 (2011, ZAPM68201)
- Vespa S 150 (2012, ZAPM68201)
