- Vespa 946 125 (2013, ZAPM80100)
- Vespa 946 125 (2014, ZAPM80100)
- Vespa 946 125 (2015, ZAPM80100)
- Vespa 946 125 (2015, ZAPM80101) Emporio Armani
- Vespa 946 125 (2016, ZAPM80100)
- Vespa 946 125 (2016, ZAPM80101)
- Vespa 946 125 (2016, ZAPM80101) Emporio Armani
- Vespa 946 125 (2016, ZAPMA7100)
- Vespa 946 125 (2017, ZAPM80100)
- Vespa 946 125 (2017, ZAPM80101)
- Vespa 946 125 (2017, ZAPM80101) Emporio Armani
- Vespa 946 125 (2017, ZAPMA7100)
- Vespa 946 125 (2018, ZAPM80100) Red
- Vespa 946 125 (2018, ZAPM80101) Emporio Armani
- Vespa 946 125 (2018, ZAPM80101) Red
- Vespa 946 125 (2018, ZAPMA7100) Red
- Vespa 946 125 (2019-2020, ZAPM80100) Red
- Vespa 946 125 (2019-2020, ZAPM80101) Red
- Vespa 946 125 (2019, ZAPM80101) Emporio Armani
- Vespa 946 125 (2019, ZAPMA7100) Red
- Vespa 946 125 (2020, ZAPM80101) Emporio Armani
- Vespa 946 125 (2020, ZAPMA7100) Red
- Vespa 946 125 (2021, ZAPM80101) Emporio Armani
- Vespa 946 125 (2021, ZAPMD710) Christian Dior
- Vespa 946 125 (2022, ZAPM80101) Emporio Armani
- Vespa 946 125 (2023, ZAPM80101) Emporio Armani
- Vespa 946 125 (2023, ZAPMD7100) Bunny
- Vespa 946 125 (2024, ZAPMD7100) Dragon
- Vespa 946 125 (2025, ZAPMD7300) Snake
- Vespa 946 125 (2026, ZAPMD7300) Horse
- Vespa 946 150 (2018, ZAPM80200) Red
- Vespa 946 150 (2018, ZAPMA7200) Red
- Vespa 946 150 (2019, ZAPM80200) Red
- Vespa 946 150 (2019, ZAPMA7200) Red
- Vespa 946 150 (2020, ZAPM80200) Red
- Vespa 946 150 (2020, ZAPMA7200) Red
- Vespa 946 150 (2023, ZAPMD7200) Bunny
- Vespa 946 150 (2024, ZAPMD7200) Dragon
- Vespa 946 150 (2025, ZAPMD7400) Snake
- Vespa 946 150 (2026, ZAPMD7400) Horse
- Vespa Primavera 125 (2012, ZAPM81100)
- Vespa Primavera 125 (2013, ZAPM81100)
- Vespa Primavera 125 (2013, ZAPM81101)
- Vespa Primavera 125 (2014, ZAPM81100)
- Vespa Primavera 125 (2014, ZAPM81101)
- Vespa Primavera 125 (2015, ZAPM81100)
- Vespa Primavera 125 (2015, ZAPM81101)
- Vespa Primavera 125 (2015, ZAPM81101) 70-Jahre
- Vespa Primavera 125 (2016, ZAPM81100)
- Vespa Primavera 125 (2016, ZAPM81100) 70-Jahre
- Vespa Primavera 125 (2016, ZAPM81101)
- Vespa Primavera 125 (2016, ZAPM81101) 70-Jahre
- Vespa Primavera 125 (2017, ZAPM81100)
- Vespa Primavera 125 (2017, ZAPM81101)
- Vespa Primavera 125 ABS (2013, RP8M82100)
- Vespa Primavera 125 ABS (2013, RP8M82310)
- Vespa Primavera 125 ABS (2013, RP8M82821)
- Vespa Primavera 125 ABS (2014, RP8M82100)
- Vespa Primavera 125 ABS (2014, RP8M82310)
- Vespa Primavera 125 ABS (2014, RP8M82821)
- Vespa Primavera 125 ABS (2015, RP8M82100)
- Vespa Primavera 125 ABS (2015, RP8M82310)
- Vespa Primavera 125 ABS (2015, RP8M82821)
- Vespa Primavera 125 IGET (2016, ZAPMA1100)
- Vespa Primavera 125 IGET (2016, ZAPMA1100) 70-Jahre
- Vespa Primavera 125 IGET (2017, ZAPMA1100)
- Vespa Primavera 125 IGET (2018, ZAPMA1100)
- Vespa Primavera 125 IGET (2018, ZAPMA1100) 50-Jahre
- Vespa Primavera 125 IGET (2018, ZAPMA1100) Yacht Club
- Vespa Primavera 125 IGET (2018, ZAPMA1101)
- Vespa Primavera 125 IGET (2018, ZAPMA1101) 50-Jahre
- Vespa Primavera 125 IGET (2018, ZAPMA1101) Yacht Club
- Vespa Primavera 125 IGET (2019-2020, ZAPMA1100)
- Vespa Primavera 125 IGET (2019-2020, ZAPMA1101)
- Vespa Primavera 125 IGET (2019-2020,ZAPMA1100 ) Yacht Club
- Vespa Primavera 125 IGET (2019-2020,ZAPMA1101 ) Yacht Club
- Vespa Primavera 125 IGET (2019, ZAPMA1100) 50-Jahre
