- Aerox 100 (2000-2002, YQ100 / 5ME)
- Aerox 50 (-1998, YQ50 / 5BR)
- Aerox 50 4T (2014-2017, NS50F / 1GB)
- Aerox 50 4T (2018-2020, NS50F / 1GB)
- Aerox 50 R (1999-2001, YQ50 / 5KL)
- Aerox 50 R (2002, YQ50 / 5PE)
- Aerox 50 R (2003, YQ50 / 5WJ)
- Aerox 50 R (2004, YQ50 / 5SB6)
- Aerox 50 R (2005-2009, YQ50 / 3C6)
- Aerox 50 R (2010-2012, YQ50 / 1BX)
- Aerox 50 R (2013-2016, NS50 / 1PH)
- Aerox 50 R-Naked (2013-2016, NS50N / 1PL)
- Aerox 50 SP (1999, YQ50L / 5KF3)
- Aerox 50 SP (2000, YQ50L / 5HE) Biaggi Racing Replica
- Aerox 50 SP (2002, YQ50L / 5PU) Playstation Racing Replica
- Aerox 50 SP (2003, YQ50L / 5WJ) Racing Replica
- Aerox 50 SP (2003, YQ50L / 5WJ) Toyota Racing Replica
- Aerox 50 SP (2004, YQ50L / 5SB) Rossi Racing Replica
- Aerox 50 SP (2005-2009, YQ50L / 3C6) Rossi Racing Replica
- Aerox 50 SP (2006, YQ50L / 3C6) Laguna Seca
- Aerox 50 SP (2008, YQ50L / 3C6) WSB Racing
- Aerox 50 SP (2010, YQ50L / 1BX) Rossi Racing Replica
- Aerox 50 SP (2011, YQ50L / 1BX) 55 Racing
- Aerox 50 SP (2012 , YQ50L / 1BX) WGP 50th Anniversary
- Axis 50 (1995, YA50N / 3UG)
- Beluga 125 (1988, XC125 / 2YM)
- BW's 100 (2007-2008, YW100 / 1S5)
- BW'S 125 (2010, YW125 / 1CE1)
- BW'S 125 (2011, YW125 / 1CX1)
- BW'S 125 (2012-2015, YW125 / 37D)
- BW'S 50 (2009, YW50Y / 5PN)
- BW'S 50 12 Zoll (2001, CW50L / 5SA)
- BW'S 50 12 Zoll (2001, CW50L / 5SX)
- BW'S 50 12 Zoll (2002, CW50L / 5RY)
- BW'S 50 12 Zoll (2003, CW50L / 5XY)
- BW'S 50 12 Zoll (2003, CW50L / 5YA)
- BW'S 50 12 Zoll (2004-2013, CW50L / 2B6)
- BW'S 50 Bump (1997, CW50RSX / 4YD)
- BW'S 50 Bump (1998, CW50RSX / 4YC)
- BW'S 50 Easy 2013 (2013, CW50E / 2DW)
- BW'S 50 MotoGP (2005, CW50S / 5WW)
- BW'S 50 Naked (2003, CW50N / 1B1)
- BW'S 50 Naked (2004-2016, CW50N / 2B7)
- BW'S 50 Next Generation (1996-2002, CW50RS / 4TD) (4WB)
- BW'S 50 Next Generation (2003, CW50RS / 1B0)
- BW'S 50 Next Generation (2004-2009, CW50RS / 2B1)
- BW'S 50 Original (1992-1994, CW50 / 4EY)
- BW'S 50 Original (2000, CW50 / 5MS)
- BW'S 50 Original (2003, CW50 / 5XX)
- BW'S 50 Original (2004-2016 , CW50 / 5WW)
- BW'S 50 Spy (1996-1998, CW50RSP / 4UR)
- Cygnus 125 (1995-1998, XC125T / 4KY)
- Cygnus 125 (1996, XC125TR / 4TH)
- Cygnus 125 (2000-2003, XC125A / 5MJ)
- Cygnus 125 Flame R (1996, XC125TR / 4TH)
- Cygnus 125 X (2004, NXC125 / 5ML)
- Cygnus 125 X (2005-2006, XC125 / 5ML)
- Cygnus 125 X (2007-2012, XC125 / 4P9)
- Cygnus 125 X (2009, NXC125 / 4P9)
- D'elight 115 (2014, XC115S / 2EP)
- D'elight 125 (2017-2020, LTS125-C / BW5)
- Giggle 50 C3 (2007-2009, XF50 / 15P)
- Jog 50 (1987, CG50E / 2JA)
- Jog 50 (1988, CG50E / 2YR)
- Jog 50 (1990, CY50 / 3KJ)
- Jog 50 (1990, CY50 / 3WG)
- Jog 50 (1991, CY50 / 3YE)
- Jog 50 (1994-1997, CY50 / 3KJ)
- JogR 50 (2003, CS50 / 5RW)
- JogR 50 (2004-2005, CS50 / 5RW)
- JogR 50 (2006-2008, CS50 / 3D4)
- JogR 50 (2009-2011, CS50 / 49D)
- JogR 50 (2012-2014, CS50 / 45D)
- JogR 50 (2015, CS50 / 2AD)
- JogRR 50 (2002-2003, CS50Z / 5RW)
- JogRR 50 (2003, CS50Z / 5RW)
- JogRR 50 (2004-2005, CS50Z / 5RW)
- JogRR 50 (2006-2010, CS50Z / 3D4)
- JogRR 50 (2011-2014, CS50Z / 49D)
- JogRR 50 (2015, CS50Z / 2AD)
- Majesty 125 (1998-2000, YP125E / 5DS)
- Majesty 125 (1998, YP125 / 5CA)
- Majesty 125 (2001-2002, YP125E / 5NR)
- Majesty 125 (2003-2006, YP125E / 5XL)
- Majesty 125 (2007-2009, YP125E / 5D8)
- Majesty 125 (2008, YP125E / 5B8)
- Majesty 125 S (2014, XC125R / 2PE)
- Majesty 150 (2001-2002, YP150D / 5NS)
- Majesty 180 (2003-2005,YP180E / 5XM)
- Majesty 250 (1995-1999, YP250 / 4HC)
- Majesty 250 (1996, YP250 / 4UC)
- Majesty 250 (1998-1999, YP250A / 5CG)
- Majesty 250 (2000-2001, YP250 / 5GM)
- Majesty 250 (2001, YP250A / 5GM)
- Majesty 250 (2002-2003, YP250 / 5SJ)
- Majesty 250 ABS (1999, YP250A / 5DF)
- Majesty 250 ABS (2001-2002, YP250A / 5GM)
- Majesty 250 ABS (2003, YP250A / 5SJ)
- Majesty 400 (2004-2008, YP400 / 5RU)
- Majesty 400 (2009-2011, YP400 / 34B)
- Majesty 400 ABS (2007, YP400A / 5RU)
- Majesty 400 ABS (2008-2011, YP400A / 34B)
- Maxster 125 (2001-2002, XQ125 / 5HT)
- Maxster 150 (2001, XQ150 / 5LG)
- N-Max 125 (2015, GPD125-A / 2DS)
- N-Max 125 (2017-2020, GPD125-A / BV3)
- N-Max 150 (2017-2019, GPD150-A / BV4)
- Neo's 100 (2001, YN100 / 5KK)
- Neo's 50 2T (1997-2000, YN50 / 5BW1) (5AD)
- Neo's 50 2T (2001, YN50 / 5MR)
- Neo's 50 2T (2002-2003, YN50 / 5RN)
- Neo's 50 2T (2004-2007, YN50 / 1P9)
- Neo's 50 2T (2008-2012, YN50 / 5C2)
- Neo's 50 2T (2013-2016, YN50 / 2AP)
- Neo's 50 2T Easy (2013, YN50E / 2DK)
- Neo's 50 4T (2009-2011, YN50F / 5C3)
- Neo's 50 4T (2012-2018, YN50F / 2AC)
- Neo's 50 4T USB (2012-2018, YN50FU / 2AC)
- Slider 50 (2000-2002, EW50 / 5LH1)
- Slider 50 (2003, EW50 / 5WK)
- Slider 50 (2004, EW50 / 1S1)
- Slider 50 Naked (2005-2014, EW50N / 1S0)
- T Max 500 (2001-2003, XP500 / 5GJ)
- T Max 500 (2004-2006, XP500 / 5VU)
- T Max 500 (2007, XP500 / 15B)
- T Max 500 (2008-2011, XP500 / 4B5)
- T Max 500 ABS (2005-2006, XP500A / 5VU)
- T Max 500 ABS (2008-2011, XP500A / 4B5)
- T Max 500 ABS Special (2007, XP500A / 15B)
- T Max 500 ABS Special (2011, XP500A / 1LD)
- T Max 500 Special (2006, XP500 / 5VU)
- T Max 530 (2012-2014, XP500 / 59C)
- T Max 530 (2015-2016, XP500 / 2PW)
- T Max 530 ABS (2012-2014, XP500A / 59C)
- T Max 530 ABS (2015-2016, XP500A / 2PW)
- T Max 530 ABS (2017-2018, XP530E-A / BV1)
- T Max 530 ABS Special (2013-2014, XP500A / 59C)
- T Max 530 ABS Special (2015-2016, XP500A / 2PW)
- T Max 530 Special (2013, XP500 / 59C)
- T Max 530 Special (2015, XP500 / 2PW)
- T Max 530 SX ABS (2017-2018, XP530-A / BX3)
- T Max 560 ABS (2020, XP650E / B3T)
- T Max 560 Tech Max ABS (2020, XP650D-A / B7M)
- Target
- Teo's 125 (2000-2002, XN125 / 5MF)
- Teo's 150 (2001-2002, XN150 / 5PR)
- Tricity 125 (2017-2020, MWS125-C / BU5)
- Tricity 125 ABS (2015-2016, MW125A / 2CM)
- Tricity 125 ABS (2017-2018, MWS125-A / BR7)
- Tricity 300 (2020, MWD300, BX9)
- Versity 300 (2002-2003, VP300 / 5SE)
- Versity 300 (2004-2006, VP300 / 1S6)
- Vino 125
- Vino 50
- Vino 50 Classic
- Vity 125 (2006-2007, XC125E / 4P7)
- Vity 125 (2008-2014, XC125E / 4P7)
- Why 50 (1999, YH50 / 5JB)
- Why 50 (2000, YH50 / 5LD)
- Why 50 (2001-2003, YH50 / 5PF)
- Why 50 (2004-2006, YH50 / 5UB)
- X Max 250 (2005-2006, YP250R / 1C0)
- X Max 250 (2007-2009, YP250R / 1C0)
- X Max 250 (2010-2012, YP250R / 37P)
- X Max 250 (2013, YP250R / 1YS)
- X Max 250 (2014-2016, YP250R / 2DL)
- X Max 250 ABS (2011-2012, YP250RA / 37P)
- X Max 250 ABS (2013, YP250RA / 1YS)
- X Max 250 ABS (2014-2016, YP250RA / 2DL)
- X Max 250 MOMO Design (2015, YP250R / 2DL)
- X Max 250 Sport (2011-2012, YP250R / 37P)
- X Max 300 ABS (2017, CZD300-A / B74)
- X Max 300 ABS (2018-2020, CZD300-A / BY3)
- X Max 400 (2013-2016, YP400R / 1SD)
- X Max 400 ABS (2014-2017, YP400RA / 1SD)
- X Max 400 ABS (2018, YP400RA / BL1)
- X Max 400 ABS (2019-2020, YP400R / BL1)
- X Max 400 ABS MOMO Design (2014, YP400RA / 1SD)
- X Max 400 Tech Max ABS (2020, YP400RA / BL1)
- X-City 125 (2008-2012, VP125 / 16P)
- X-City 250 (2007-2015, VP250 / 5B2)
- X-Max 125 (2006-2009, YP125R / 1B9)
- X-Max 125 (2010-2012, YP125R / 39D)
- X-Max 125 (2012-2013, YP125R / 2AB)
- X-Max 125 (2014-2016, YP125R / 2DM)
- X-Max 125 ABS (2011, YP125RA / 39D)
- X-Max 125 ABS (2012-2013, YP125RA / 2AB)
- X-Max 125 ABS (2014-2016, YP125RA / 2DM)
- X-Max 125 ABS (2017, YP125RA / 2DM)
- X-Max 125 ABS (2018-2020, YP125RA / BL2)
- X-Max 125 ABS Business (2011, YP125RA / 39D)
- X-Max 125 ABS Business (2012, YP125RA / 2AB)
- X-Max 125 ABS Iron Max (2016, YP125RA / 2DM)
- X-Max 125 ABS MOMO Design (2013, YP125RA / 2AB)
- X-Max 125 ABS MOMO Design (2015, YP125RA / 2DM)
- X-Max 125 Black Max (2009, YP125R / 1B9)
- X-Max 125 MOMO Design (2013, YP125R / 2AB)
- X-Max 125 MOMO Design (2015, YP125R / 2DM)
- X-Max 125 Sport (2011, YP125R / 39D)
- X-Max 125 Sport (2012, YP125R / 2AB)
- X-Max 300 i (2018-2020, SH13, BY3)
- Xenter 125 (2012-2016, HW125 / 53B)
- Xenter 125 (2017-2020, HW125 / 53B)
- Zest 50 (1993-1999, YE50 / 4FW)
- Zuma 50
- Zuma 50 II
